t;ms1.mq;ms1.ab1;ms1.ab2;ms1.zu1;ms1.zu2;ms2.mq;ms2.ab1;ms2.zu1;ms3.mq;ms4.mq;MS1;MS2;MS3;MS4;VS_MS1;VS_MS2;VS_MS3;VS_MS4;VS_MQ1;VS_MQ2;VS_MQ3;VS_MQ4;BIL_MS2;BIL_MS3;ABW_GR2;ABW_GR3;ABW_VOR2;ABW_VOR3
9;859;34;56;19;23;832;39;13;785;785;811;806;785;785;;;;;;;;;;;;;;
9;729;62;4;65;25;872;56;54;751;751;753;870;751;751;567;640;565;565;589;641;565;565;149;-74;13;-4;13;-12
10;260;8;8;6;8;317;8;7;257;257;258;316;257;257;;;;;;;;;;;;;;
10;222;13;21;16;16;223;17;4;207;207;220;210;207;207;;;;;;;;;;;;;;
10;205;15;18;1;3;196;5;2;173;173;176;193;173;173;;;;;;;;;;;;;;
10;971;59;51;8;74;995;37;8;914;914;943;966;914;914;;;;;;;;;;;;;;
10;333;8;12;32;13;455;0;19;377;377;358;474;377;377;391;432;386;386;398;437;386;386;92;-46;13;-4;12;-11
1;611;9;34;44;30;697;34;3;611;611;642;666;611;611;;;;;;;;;;;;;;
1;697;6;48;14;13;700;48;32;654;654;670;684;654;654;;;;;;;;;;;;;;
1;487;22;5;48;21;561;9;4;524;524;529;556;524;524;;;;;;;;;;;;;;
1;652;23;18;54;64;815;38;78;769;769;729;855;769;769;;;;;;;;;;;;;;
1;722;32;20;24;39;899;87;41;687;687;733;853;687;687;661;723;649;649;634;734;649;649;148;-74;12;-4;11;-10
2;5;0;0;0;0;5;0;0;5;5;5;5;5;5;;;;;;;;;;;;;;
2;878;45;11;44;16;1016;20;17;879;879;882;1013;879;879;;;;;;;;;;;;;;
2;200;4;7;11;10;236;18;23;215;215;210;241;215;215;;;;;;;;;;;;;;
2;954;70;2;77;21;1001;68;86;998;998;980;1019;998;998;;;;;;;;;;;;;;
2;344;31;14;8;13;400;28;28;320;320;320;400;320;320;479;536;483;483;476;532;483;483;104;-52;10;-3;11;-10
3;690;61;24;35;27;753;65;31;633;633;667;719;633;633;;;;;;;;;;;;;;
3;292;25;15;17;7;286;4;10;282;282;276;292;282;282;;;;;;;;;;;;;;
3;420;39;34;25;24;401;23;26;399;399;396;404;399;399;;;;;;;;;;;;;;
3;313;16;15;27;27;376;23;16;329;329;336;369;329;329;;;;;;;;;;;;;;
3;673;48;56;56;11;698;56;41;621;621;636;683;621;621;462;493;453;453;478;503;453;453;81;-41;10;-4;9;-8
4;963;80;72;5;89;926;67;67;905;905;905;926;905;905;;;;;;;;;;;;;;
4;856;12;11;24;82;1160;47;27;919;919;939;1140;919;919;;;;;;;;;;;;;;
4;284;23;8;1;3;266;25;5;237;237;257;246;237;237;;;;;;;;;;;;;;
4;686;3;39;1;6;706;38;48;661;661;651;716;661;661;;;;;;;;;;;;;;
4;986;72;77;34;45;1088;104;109;921;921;916;1093;921;921;734;824;729;729;755;829;729;729;191;-96;14;-4;13;-12
5;802;27;17;2;0;953;86;81;755;755;760;948;755;755;;;;;;;;;;;;;;
5;672;32;3;30;57;929;19;52;757;757;724;962;757;757;;;;;;;;;;;;;;
5;601;3;17;53;17;803;2;1;650;650;651;802;650;650;;;;;;;;;;;;;;
5;191;7;11;19;1;211;5;5;193;193;193;211;193;193;;;;;;;;;;;;;;
5;113;0;8;5;6;126;4;12;124;124;116;134;124;124;489;611;496;496;476;604;496;496;231;-116;22;-7;24;-19
6;454;12;34;40;36;499;38;33;479;479;484;494;479;479;;;;;;;;;;;;;;
6;863;72;2;44;6;1086;28;26;837;837;839;1084;837;837;;;;;;;;;;;;;;
6;233;11;18;7;4;223;4;8;219;219;215;227;219;219;;;;;;;;;;;;;;
6;169;17;1;12;14;199;8;10;179;179;177;201;179;179;;;;;;;;;;;;;;
6;903;37;45;48;21;905;20;84;954;954;890;969;954;954;521;595;534;534;524;582;534;534;123;-61;10;-3;12;-10
7;965;5;93;93;43;1295;33;11;981;981;1003;1273;981;981;;;;;;;;;;;;;;
7;435;28;26;22;29;495;5;9;436;436;432;499;436;436;;;;;;;;;;;;;;
7;640;13;38;20;57;757;33;47;680;680;666;771;680;680;;;;;;;;;;;;;;
7;918;66;83;10;18;961;22;79;854;854;797;1018;854;854;;;;;;;;;;;;;;
7;971;85;24;41;76;1083;15;13;977;977;979;1081;977;977;775;928;786;786;786;918;786;786;286;-143;17;-5;18;-15
8;946;33;43;57;58;1162;43;75;1017;1017;985;1194;1017;1017;;;;;;;;;;;;;;
8;52;1;2;2;2;58;5;2;50;50;53;55;50;50;;;;;;;;;;;;;;
8;36;1;3;2;3;45;4;1;34;34;37;42;34;34;;;;;;;;;;;;;;
8;105;2;6;1;8;115;7;8;107;107;106;116;107;107;;;;;;;;;;;;;;
8;540;22;47;20;7;631;20;32;510;510;498;643;510;510;336;410;344;344;336;402;344;344;133;-66;18;-5;20;-16
9;860;59;63;42;78;976;61;77;874;874;858;992;874;874;;;;;;;;;;;;;;
9;755;19;6;72;71;968;48;71;896;896;873;991;896;896;;;;;;;;;;;;;;
9;294;15;24;10;14;356;18;31;292;292;279;369;292;292;;;;;;;;;;;;;;
9;118;1;2;7;0;152;4;12;130;130;122;160;130;130;;;;;;;;;;;;;;
9;631;14;62;20;50;779;9;76;692;692;625;846;692;692;551;672;577;577;532;646;577;577;190;-95;14;-4;17;-14
10;521;21;26;46;21;563;39;13;515;515;541;537;515;515;;;;;;;;;;;;;;
10;350;16;15;15;12;414;12;4;338;338;346;406;338;338;;;;;;;;;;;;;;
10;996;91;72;56;85;1078;97;38;915;915;974;1019;915;915;;;;;;;;;;;;;;
10;662;37;10;7;63;732;1;40;724;724;685;771;724;724;;;;;;;;;;;;;;
10;835;63;33;56;36;880;56;1;776;776;831;825;776;776;675;712;654;654;673;733;654;654;116;-58;11;-4;9;-8
1;402;19;25;29;33;486;47;41;414;414;420;480;414;414;;;;;;;;;;;;;;
1;193;15;4;6;8;201;19;3;172;172;188;185;172;172;;;;;;;;;;;;;;
1;379;24;25;16;19;454;34;16;347;347;365;436;347;347;;;;;;;;;;;;;;
1;122;4;5;2;4;131;13;11;117;117;119;129;117;117;;;;;;;;;;;;;;
1;45;0;3;2;3;57;3;4;48;48;47;58;48;48;228;258;220;220;228;266;220;220;76;-38;20;-7;17;-15
2;723;6;28;26;14;882;9;36;756;756;729;909;756;756;;;;;;;;;;;;;;
2;160;12;5;5;13;206;4;2;159;159;161;204;159;159;;;;;;;;;;;;;;
2;947;68;56;8;50;1047;15;71;937;937;881;1103;937;937;;;;;;;;;;;;;;
2;56;1;5;1;1;54;2;0;50;50;52;52;50;50;;;;;;;;;;;;;;
2;972;56;55;80;3;1120;12;93;1025;1025;944;1201;1025;1025;553;694;585;585;572;662;585;585;217;-108;15;-4;20;-16
3;175;12;2;4;13;229;12;9;175;175;178;226;175;175;;;;;;;;;;;;;;
3;41;0;3;2;2;54;5;2;39;39;42;51;39;39;;;;;;;;;;;;;;
3;243;13;18;20;6;261;23;1;216;216;238;239;216;216;;;;;;;;;;;;;;
3;644;21;44;38;11;697;46;19;601;601;628;670;601;601;;;;;;;;;;;;;;
3;928;66;30;86;85;1262;15;24;1012;1012;1003;1271;1012;1012;418;491;409;409;406;501;409;409;166;-83;22;-7;20;-17
4;59;5;6;5;6;62;3;6;62;62;59;65;62;62;;;;;;;;;;;;;;
4;918;38;82;41;76;997;1;51;965;965;915;1047;965;965;;;;;;;;;;;;;;
4;736;65;46;13;9;788;62;35;620;620;647;761;620;620;;;;;;;;;;;;;;
4;410;9;33;4;31;438;36;5;372;372;403;407;372;372;;;;;;;;;;;;;;
4;916;58;57;56;42;1031;10;17;906;906;899;1038;906;906;585;664;585;585;608;663;585;585;157;-79;13;-4;13;-12
5;390;10;38;32;13;479;5;8;390;390;387;482;390;390;;;;;;;;;;;;;;
5;500;14;1;26;11;592;37;47;532;532;522;602;532;532;;;;;;;;;;;;;;
5;860;57;43;67;22;918;28;73;894;894;849;963;894;894;;;;;;;;;;;;;;
5;326;12;22;17;12;368;31;34;324;324;321;371;324;324;;;;;;;;;;;;;;
5;183;13;1;11;6;198;2;5;189;189;186;201;189;189;453;524;466;466;452;511;466;466;116;-58;11;-3;13;-11
6;843;72;2;7;64;856;9;62;893;893;840;909;893;893;;;;;;;;;;;;;;
6;562;39;54;6;33;588;58;3;453;453;508;533;453;453;;;;;;;;;;;;;;
6;605;9;42;15;47;729;22;55;649;649;616;762;649;649;;;;;;;;;;;;;;
6;548;10;32;40;54;721;6;71;665;665;600;786;665;665;;;;;;;;;;;;;;
6;435;9;27;19;31;531;8;26;467;467;449;549;467;467;603;708;625;625;599;685;625;625;165;-82;11;-3;14;-12
7;395;32;18;12;38;460;31;35;399;399;395;464;399;399;;;;;;;;;;;;;;
7;567;31;9;33;1;568;45;52;568;568;561;575;568;568;;;;;;;;;;;;;;
7;218;1;7;17;8;256;18;11;228;228;235;249;228;228;;;;;;;;;;;;;;
7;851;76;54;22;43;901;47;31;770;770;786;885;770;770;;;;;;;;;;;;;;
7;472;36;45;11;7;530;48;45;406;406;409;527;406;406;477;540;474;474;501;543;474;474;132;-66;14;-5;14;-12
8;464;29;17;23;30;495;42;21;450;450;471;474;450;450;;;;;;;;;;;;;;
8;256;6;24;24;6;277;17;12;251;251;256;272;251;251;;;;;;;;;;;;;;
8;947;1;63;77;56;1172;11;95;1100;1100;1016;1256;1100;1100;;;;;;;;;;;;;;
8;880;59;27;57;27;1059;19;43;902;902;878;1083;902;902;;;;;;;;;;;;;;
8;169;11;2;4;12;210;16;13;169;169;172;207;169;169;559;658;574;574;543;643;574;574;168;-84;13;-4;15;-13
9;655;54;65;49;57;812;41;17;618;618;642;788;618;618;;;;;;;;;;;;;;
9;527;3;15;19;33;589;48;25;538;538;561;566;538;538;;;;;;;;;;;;;;
9;190;4;15;1;18;229;16;11;185;185;190;224;185;185;;;;;;;;;;;;;;
9;980;92;76;16;31;1002;63;8;804;804;859;947;804;804;;;;;;;;;;;;;;
9;941;21;29;8;3;1148;35;12;879;879;902;1125;879;879;631;730;605;605;659;756;605;605;250;-125;23;-8;20;-17
10;530;52;39;24;32;609;34;2;463;463;495;577;463;463;;;;;;;;;;;;;;
10;268;23;8;20;20;323;16;4;265;265;277;311;265;265;;;;;;;;;;;;;;
10;16;0;0;1;1;19;0;2;20;20;18;21;20;20;;;;;;;;;;;;;;
10;203;13;18;10;11;215;11;1;183;183;193;205;183;183;;;;;;;;;;;;;;
10;546;43;38;50;49;683;33;12;543;543;564;662;543;543;309;355;295;295;313;370;295;295;121;-60;23;-8;20;-17
